
Filename                LineNumber Line                                                                                        
page.tsx                         4 import ClientHomepage from "./ClientHomepage";                                              
Button.tsx                       3 import { cva } from "class-variance-authority";                                             
Button.tsx                       4 import { useRouter } from "next/navigation";                                                
Button.tsx                       5 import { HTMLAttributes } from "react";                                                     
CameraPreview.tsx                4 import { useEffect, useRef, useState, useCallback } from 'react';                           
CameraPreview.tsx                5 import { NeonGradientCard } from "@/components/magicui/neon-gradient-card";                 
CameraPreview.tsx                6 import Button from "@/components/Button"                                                    
CameraPreview.tsx                7 import { Video, VideoOff } from "lucide-react";                                             
CameraPreview.tsx                8 import { GeminiWebSocket } from '@/services/geminiWebSockets';                              
CameraPreview.tsx                9 import { Base64 } from 'js-base64';                                                         
Loader.tsx                       1 import { Skeleton } from "@/components/ui/skeleton"                                         
Logo.tsx                         1 import logoImage from "@/assets/images/sphereal-logo.svg?url"                               
Logo.tsx                         2 import { twMerge } from "tailwind-merge";                                                   
Logo.tsx                         3 import { HTMLAttributes } from "react"                                                      
Orbit.tsx                        1 import { HTMLAttributes } from 'react'                                                      
Orbit.tsx                        2 import { twMerge } from 'tailwind-merge'                                                    
Planet.tsx                       1 import { cva } from "class-variance-authority"                                              
Planet.tsx                       2 import { HTMLAttributes } from "react";                                                     
popup.tsx                        3 import { useState } from "react";                                                           
popup.tsx                        4 import Link from "next/link";                                                               
popup.tsx                        5 import { motion, AnimatePresence } from "framer-motion";                                    
PremiumSuccessPopup.tsx          3 import { motion, AnimatePresence } from "framer-motion";                                    
PremiumSuccessPopup.tsx          4 import { useRouter } from "next/navigation";                                                
PremiumSuccessPopup.tsx          5 import { Button } from "@/components/ui/button";                                            
PremiumSuccessPopup.tsx          6 import { CheckCircle2, Sparkles } from "lucide-react";                                      
PremiumSuccessPopup.tsx          7 import confetti from "canvas-confetti";                                                     
PremiumSuccessPopup.tsx          8 import { useEffect } from "react";                                                          
SectionBorder.tsx                1 import { HTMLAttributes } from "react"                                                      
SectionBorder.tsx                2 import { twMerge } from "tailwind-merge"                                                    
SectionContent.tsx               1 import React, { HTMLAttributes } from 'react'                                               
SectionContent.tsx               2 import { twMerge } from 'tailwind-merge'                                                    
SessionContext.tsx               3 import { SessionProvider as NextAuthSessionProvider } from "next-auth/react";               
SessionContext.tsx               4 import { FC, ReactNode } from "react";                                                      
CallToAction.tsx                 3 import Logo from "@/components/Logo";                                                       
CallToAction.tsx                 4 import SectionBorder from "@/components/SectionBorder";                                     
CallToAction.tsx                 5 import SectionContent from "@/components/SectionContent";                                   
CallToAction.tsx                14 import { motion } from "framer-motion";                                                     
CallToAction.tsx                15 import Link from "next/link";                                                               
Companies.tsx                    3 import AcmeCorpLogo from "@/assets/images/acme-corp-logo.svg";                              
Companies.tsx                    4 import EchoValleyLogo from "@/assets/images/echo-valley-logo.svg";                          
Companies.tsx                    5 import QuantumLogo from "@/assets/images/quantum-logo.svg";                                 
Companies.tsx                    6 import PulseLogo from "@/assets/images/pulse-logo.svg";                                     
Companies.tsx                    7 import OutsideLogo from "@/assets/images/outside-logo.svg";                                 
Companies.tsx                    8 import CelestialLogo from "@/assets/images/celestial-logo.svg";                             
Companies.tsx                    9 import SectionBorder from "@/components/SectionBorder";                                     
Companies.tsx                   10 import SectionContent from "@/components/SectionContent";                                   
Companies.tsx                   11 import Image from "next/image";                                                             
Features.tsx                     3 import coolmood from "../assets/images/cool.png"                                            
Features.tsx                     4 import crymood from "../assets/images/cry.png"                                              
Features.tsx                     5 import pareshaanMood from "../assets/images/pareshaan.png"                                  
Features.tsx                     6 import dhattiMood from "../assets/images/dhatti.png"                                        
Features.tsx                     7 import loveMood from "../assets/images/love.png"                                            
Features.tsx                     8 import moneyideaMood from "../assets/images/moneyidea.png"                                  
Features.tsx                     9 import thinkingMood from "../assets/images/thinking.png"                                    
Features.tsx                    10 import sadMood from "../assets/images/sad.png"                                              
Features.tsx                    11 import SectionBorder from "@/components/SectionBorder";                                     
Features.tsx                    12 import SectionContent from "@/components/SectionContent";                                   
Features.tsx                    13 import Orbit from "@/components/Orbit";                                                     
Features.tsx                    14 import Logo from "@/components/Logo";                                                       
Features.tsx                    15 import Image from "next/image";                                                             
Features.tsx                    16 import { motion } from "framer-motion";                                                     
Features.tsx                    17 import Link from "next/link";                                                               
Features.tsx                    18 import { Check } from "lucide-react";                                                       
Footer.tsx                       1 import React from "react";                                                                  
Footer.tsx                       7 import { FontAwesomeIcon } from "@fortawesome/react-fontawesome";                           
Footer.tsx                       8 import Link from "next/link";                                                               
Footer.tsx                       9 import Logo from "@/components/Logo";                                                       
Header.tsx                       3 import { useState } from "react";                                                           
Header.tsx                       4 import { useSession } from "@/context/SessionContext";                                      
Header.tsx                       5 import { signOut } from "next-auth/react";                                                  
Header.tsx                       6 import Logo from "@/components/Logo";                                                       
Header.tsx                       7 import Link from "next/link";                                                               
Header.tsx                       8 import { motion, AnimatePresence } from "framer-motion";                                    
Hero.tsx                         3 import { useEffect, useRef, useState } from "react";                                        
Hero.tsx                         4 import { motion, useMotionValue, useScroll, useSpring, useTransform } from "framer-motion"; 
Hero.tsx                         5 import Image from "next/image";                                                             
Hero.tsx                         6 import Link from "next/link";                                                               
Hero.tsx                         7 import FaceImage from "@/assets/images/Face.jpg";                                           
Hero.tsx                         8 import Loader from "@/assets/images/loader-animated.svg";                                   
Hero.tsx                         9 import Orbit from "@/components/Orbit";                                                     
Hero.tsx                        10 import { Planet } from "@/components/Planet";                                               
Hero.tsx                        11 import SectionBorder from "@/components/SectionBorder";                                     
Hero.tsx                        12 import SectionContent from "@/components/SectionContent";                                   
Pricing.tsx                      3 import Script from "next/script";                                                           
Pricing.tsx                      4 import React, { useState } from "react";                                                    
Pricing.tsx                      5 import SectionBorder from "@/components/SectionBorder";                                     
Pricing.tsx                      6 import SectionContent from "@/components/SectionContent";                                   
Pricing.tsx                      7 import { twMerge } from "tailwind-merge";                                                   
Pricing.tsx                      8 import { useRouter } from "next/navigation";                                                
Pricing.tsx                      9 import Link from "next/link";                                                               
Pricing.tsx                     10 import { motion } from "framer-motion";                                                     
Pricing.tsx                     11 import { Check } from "lucide-react";                                                       
Pricing.tsx                     12 import { RazorpayOptions } from "@/lib/types";                                              
Testimonials.tsx                 3 import React, { useState } from "react";                                                    
Testimonials.tsx                 4 import AshwinSantiago from "@/assets/images/ashwin-santiago.jpg";                           
Testimonials.tsx                 5 import AlecWhitten from "@/assets/images/alec-whitten.jpg";                                 
Testimonials.tsx                 6 import ReneWells from "@/assets/images/rene-wells.jpg";                                     
Testimonials.tsx                 7 import MollieHall from "@/assets/images/mollie-hall.jpg";                                   
Testimonials.tsx                 8 import SectionBorder from "@/components/SectionBorder";                                     
Testimonials.tsx                 9 import SectionContent from "@/components/SectionContent";                                   
Testimonials.tsx                10 import Image from "next/image";                                                             
Testimonials.tsx                11 import { motion, AnimatePresence } from "framer-motion";                                    
Testimonials.tsx                12 import { ChevronLeft, ChevronRight, Quote } from "lucide-react";                            


